"whiskey_id","category_id","name","score","price_usd","sale_volume","percent_abv"
21,1,"Wyoming Outryder American Whiskey 50%",91,75,"750",50
22,1,"J. Rieger & Co. Monogram Oloroso Bota (2020 Edition) 52.5%",91,100,"750",52.5
23,1,"Manatawny Still Works Small Batch Port Barrel-Finished American Whiskey (Batch 19) 47%",91,45,"750",47
24,1,"Clyde May’s Cask Strength Alabama Style 10 year old American Whiskey 57%",90,100,"750",57
25,1,"Wolves Wally's Blend 52%",90,160,"750",52
26,1,"Clyde May’s Alabama Style 110 Proof American Whiskey 55%",90,60,"750",55
27,1,"Wolves Winter Run American Whiskey 52%",89,185,"750",52
28,1,"Hooten Young 12 year old Whiskey (Batch 1) 46%",89,70,"750",46
29,1,"Filibuster The Boondoggler American Whiskey 45%",88,35,"750",45
30,1,"Cedar Ridge Slipknot No. 9 Reserve 49.5%",88,80,"750",49.5
31,1,"Griffo Stony Point American Whiskey(Batch 9) 47%",88,49,"750",47
32,1,"Golden Gate Single Cask Mizunara Cask 55%",88,135,"750",55
33,1,"Smooth Ambler Old Scout American Whiskey (Batch 31) 49.5%",87,35,"750",49.5
34,1,"Seven Stills Patience Single Pot Still-Style American Whiskey 59.5%",87,75,"750",59.5
35,1,"Cedar Ridge Slipknot No. 9 Iowa 45%",87,40,"750",45
36,1,"Talnua Continuum Cask American Single Pot Still 43%",87,40,"750",43
37,1,"Founding Spirits American Whiskey (Batch #10) 50%",87,45,"750",50
38,1,"Clyde May’s Alabama Style American Whiskey 42.5%",87,36,"750",42.5
39,1,"Hotel Tango American Whiskey 45%",87,50,"750",45
40,1,"10th Street California Coast Blended 42%",87,40,"750",42
41,1,"O.H. Ingram River-Aged 48%",87,80,"750",48
42,1,"Michter’s US*1 Toasted Barrel-Finished Sour Mash American Whiskey (Batch 19G1244) 43%",86,60,"750",43
43,1,"Ransom The Emerald 1865 American Whiskey (Batch #005) 43.8%",86,90,"750",43.8
44,1,"Leopold Bros. Small Batch American Whiskey (Barrel #1206) 43%",86,33,"750",43
45,1,"High West Valley Tan Utah Whiskey (Batch #19G03) 43.5%",85,50,"750",43.5
46,1,"O’Danaghers 5 year old American Hibernian Single Barrel Whiskey 45%",85,55,"750",45
47,1,"Jacob’s Pardon 8 year old Small Batch American Whiskey (Batch 01) 48.6%",85,90,"750",48.6
48,1,"Michter’s US*1 Unblended American Whiskey (2013 Release) 41.7%",84,43,"750",41.7
49,1,"Barrell American Whiskey (Batch 002) 61.9%",84,65,"750",61.9
50,1,"Koval Single Barrel Oat American Whiskey (No. 5G8X2W) 40%",84,45,"750",40
51,1,"Cascade Blonde American Whiskey 40%",84,20,"750",40
52,1,"Boondocks 11 year old American Whiskey 47.5%",83,40,"750",47.5
53,1,"Koval Four Grain Single Barrel American Whiskey (No. W06P45) 47%",83,45,"750",47
54,1,"Firestone & Robertson TX Blended Whiskey 41%",83,33,"750",41
55,1,"Finger Lakes Distilling McKenzie Pure Pot Still 40%",83,43,"750",40
56,1,"Relativity American Whisky (prototype) 40%",83,35,"750",40
57,1,"American Oak Small Batch American Whiskey (Batch 1) 40%",82,33,"750",40
58,1,"Early Times Kentucky Whisky 40%",82,12,"750",40
59,1,"Creek Water American Whiskey 50%",81,25,"750",50
60,1,"Michter's US*1 Small Batch Unblended American Whiskey 41.7%",81,30,"750",41.7
61,1,"Black Bear Irish-Style Colorado Whiskey 40%",80,45,"750",40
62,1,"Roughstock Montana Whiskey 45%",79,63,"750",45
63,1,"Boondocks 11 year old Cask Strength American Whiskey 63.5%",78,60,"750",63.5
64,1,"Early Times (150th Anniversary Edition) Kentucky Whisky 50%",76,12,"750",50
65,1,"Rogue Dead Guy American Whiskey 40%",69,40,"750",40
66,2,"Dram Hunters 7 year old Southern Coast Distillers Single Cask Single Malt (Cask No. 112) 63.6%",95,250,"750",63.6
67,2,"Limeburners Barrel Strength Heavy Peat 61%",92,539,"750",61
68,2,"Tin Shed Iniquity Single Malt (Batch 10) 46%",91,225,"750",46
69,2,"Starward Two-Fold Red Wine Barrel-Finished Double Grain Blended 40%",90,33,"750",40
70,2,"That Boutique-y Whisky Co (distilled at Overeem) Batch 1 47.5%",90,218,"750",47.5
71,2,"Limeburners Port Cask 43%",90,104,"750",43
72,2,"Bakery Hill Double Wood Malt 46%",90,86,"750",46
73,2,"Lark Single Cask 58%",89,228,"750",58
74,2,"Old Hobart Overeem Port Cask Matured 60%",89,176,"750",60
75,2,"Southern Coast Single Malt Cask 4 46%",89,107,"750",46
76,2,"Overeem Sherry Matured Cask Strength 60%",89,319,"750",60
77,2,"Starward Nova 41%",88,55,"750",41
78,2,"Overeem Port Cask Matured #29 60%",88,318,"750",60
79,2,"Tiger Snake Sour Mash 43%",88,100,"750",43
80,2,"Bakery Hill Cask Strength Peated Classic Single Malt 60%",88,112,"750",60
81,2,"Limeburners Single Malt M79 61%",87,125,"750",61
82,2,"Sullivans Cove Double Cask Single Malt (Batch DC097) 45%",87,300,"750",45
83,2,"Heartwood Vat Out of Hell 67.4%",87,170,"750",67.4
84,2,"Bakery Hill Cask Strength Single Malt 60%",87,109,"750",60
85,2,"Overeem Sherry Matured 43%",87,236,"750",43
86,2,"Starward 43%",87,60,"750",43
87,2,"Hellyers Road Original 40%",86,70,"750",40
88,2,"Sullivans Cove Cask HHD430 47.5%",86,99,"750",47.5
89,2,"Southern Coast Malt Cask 5 46%",86,107,"750",46
90,2,"Sullivan’s Cove Bourbon Cask HH0104 60%",86,148,"750",60
91,2,"Nant Single Malt 43%",85,121,"750",43
92,2,"Limeburners Sherry Cask 61%",85,169,"750",61
93,2,"Bakery Hill Classic Single Malt 46%",85,86,"750",46
94,2,"Limeburners Single Malt M76 43%",84,126,"750",43
95,2,"Sullivan’s Cove Cask Strength 60%",84,140,"750",60
96,2,"Old Hobart Overeem Sherry Cask Matured 43%",84,135,"750",43
97,2,"Sullivans Cove Double Cask 40%",84,94,"750",40
98,2,"Lark Single Cask LD126 43%",84,154,"750",43
99,2,"Nant Bourbon Cask 43%",84,119,"750",43
100,2,"Lark Para 43%",84,135,"750",43
101,2,"Lark Single Cask 43%",83,155,"750",43
102,2,"Old Hobart Overeem Port Cask Matured 43%",83,135,"750",43
103,2,"Southern Coast Single Malt Cask 3 46%",83,107,"750",46
104,2,"Overeem Port Cask Matured #26 43%",82,235,"750",43
105,2,"Bakery Hill Double Wood 46%",82,71,"750",46
106,2,"Belgrove White Rye 40%",80,101,"750",40
107,2,"Old Hobart Overeem Sherry Cask 55%",79,155,"750",55
108,2,"Diggers & Ditch 41.5%",79,81,"750",41.5
109,2,"Nant French Oak Port Matured 43%",79,194,"750",43
110,2,"Old Hobart Overeem Port Cask 55%",77,186,"750",55
111,2,"Hellyers Road Original Pure 46.2%",77,123,"750",46.2
112,3,"Broger Burn Out 42%",91,64,"750",42
113,3,"Waldviertler Whisky J.H. Original Rye 41%",91,52,"750",41
114,3,"Reisetbauer 15 year old 48%",90,133,"750",48
115,3,"Reisetbauer 7 year old 43%",88,90,"750",43
116,3,"Reisetbauer 12 year old 48%",87,131,"750",48
117,3,"Broger Triple Cask 42%",85,66,"750",42
118,3,"Broger Distiller’s Edition 58.7%",85,104,"750",58.7
119,3,"Broger Medium Smoked 42%",84,64,"750",42
120,3,"Broger Riebelmais 42%",84,66,"750",42
121,3,"Wieser Wiesky Sherry Wood 7 year old 40%",72,50,"750",40
122,3,"Wieser Wiesky Pinot Noir 7 year old 40%",71,50,"750",40
123,4,"Belgian Owl Cask L170711 4 year old 2012 46%",90,80,"750",46
124,4,"Goldlys 14 year old Manzanilla Finish (cask 2629) 43%",84,41,"750",43
125,4,"Belgian Owl 4 year old cask 270910 46%",83,68,"750",46
126,4,"Gouden Carolus 46%",82,40,"750",46
127,4,"Belgian Owl 4 year old 46%",82,72,"750",46
128,4,"Wild Weasel Single Cask (cask #1) 46%",81,65,"750",46
129,4,"Belgian Owl Cask 4276140 5 year old 2012 76.1%",80,100,"750",76.1
130,4,"Goldlys PX Finish Cask 2650 43%",80,41,"750",43
131,4,"Belgian Owl 4 year old cask L140211 46%",79,68,"750",46
132,5,"K5 Premium Spirit Whisky 40%",76,50,"750",40
133,6,"Little Book Chapter 1 “The Easy” 60.2%",92,80,"750",60.2
134,6,"High West Bourye Blend of Straight Whiskeys (Batch 19L06) 46%",91,100,"750",46
135,6,"Little Book Chapter 1 ""The Easy"" 60.2%",91,80,"750",60.2
136,6,"Blackened Cask-Strength Black Brandy Cask-Finished Blended (Batch 106) 55.35%",91,55,"750",55.35
137,6,"Barrell Dovetail Cask Strength (Batch 001) 61.45%",90,90,"750",61.45
138,6,"Redwood Empire Lost Monarch Blend of Straight Whiskeys 45%",90,43,"750",45
139,6,"Virginia Distillery Co. Cider Cask-Finished Virginia-Highland Whisky (Batch #4) 46%",90,65,"750",46
140,6,"Wolves First Run 53%",90,150,"750",53
141,6,"Doc.52 Blended Straight Whiskey 56%",90,50,"750",56
142,6,"Heaven’s Door Double Barrel 50%",90,50,"750",50
143,6,"Broken Barrel Isle of Peat American Blended Whiskey 55%",89,50,"750",55
144,6,"Barrell Cask-Strength American Vatted Malt (Batch 001) 58.75%",88,90,"750",58.75
145,6,"Cascade Moon (Edition No. 1) 42%",88,90,"750",42
146,6,"Redwood Empire American Whiskey 45%",87,45,"750",45
147,6,"Chicken Cock Bootlegger’s Reserve 45%",87,40,"750",45
148,6,"Tincup American Whiskey 42%",87,30,"750",42
149,6,"Slaughter House American Whiskey 44%",86,40,"750",44
150,6,"Blackened American Whiskey (Batch 097) 45%",86,50,"750",45
151,6,"A.P. Hotaling J.H. Cutter 48%",85,50,"750",48
152,6,"Blackened Brandy Cask-Finished American Whiskey (Batch 082) 45%",85,43,"750",45
153,6,"Charbay Doubled & Twisted 45%",85,50,"750",45
154,6,"St. George Spirits Breaking & Entering 43%",85,40,"750",43
155,6,"Broken Barrel Mizunara Blended American Whiskey 50%",85,50,"750",50
156,6,"Wonderland Blend of Straight Whiskeys 42%",85,44,"750",42
157,6,"Tanner’s Creek Blended Bourbon 42.5%",84,35,"750",42.5
158,6,"High West Son of Bourye (Batch #2) 46%",83,40,"750",46
159,6,"Bendt No. 5 American Blended Whiskey 41.5%",83,25,"750",41.5
160,6,"Ko‘olau Old Pali Road Whiskey (Batch #001) 43%",82,45,"750",43
161,6,"Alibi 45%",80,24,"750",45
162,6,"Seagram’s 7 Crown 40%",78,11,"750",40
163,6,"Black Eagle Honey 35%",77,12,"750",35
164,6,"Sunshine Reserve American whiskey 42.5%",76,50,"750",42.5
165,6,"Woodford Reserve Master’s Collection Five Malt 45.2%",60,50,"750",45.2
166,7,"Wild Weasel Finest Blend 40%",77,44,"750",40
167,8,"Bastille 1789 40%",88,30,"750",40
168,8,"Moon Harbour PIER 1 45.8%",82,59,"750",45.8
169,8,"Bastille Blended Whisky 40%",80,25,"750",40
170,9,"Compass Box Hedonism Felicitas 53%",95,175,"750",53
171,9,"Compass Box Hedonism The Muse 53.3%",93,275,"750",53.3
172,9,"Compass Box Hedonism Quindecimus 46%",92,200,"750",46
173,9,"Royal Salute 21 year old Snow Polo Edition 46.5%",91,155,"750",46.5
174,9,"Compass Box Hedonism Maximus",90,300,"750",40
175,9,"The Exceptional Grain 43%",89,100,"750",43
176,9,"Compass Box Hedonism 43%",88,115,"750",43
177,9,"Compass Box Last Vatted Grain 46%",87,199,"750",46
178,9,"Compass Box Hedonism 43%",87,62,"750",43
179,10,"Midleton Very Rare 30th Anniversary Pearl Edition 53.1%",95,6354,"750",53.1
180,10,"Midleton Very Rare 2018 40%",94,200,"750",40
181,10,"Writers’ Tears Double Oak 46%",94,65,"750",46
182,10,"Midleton Very Rare 2021 40%",94,208,"750",40
183,10,"Midleton Very Rare 2019 40%",94,220,"750",40
184,10,"Midleton Very Rare 2014 40%",94,125,"750",40
185,10,"Writers’ Tears Cask Strength (2019 Release) 53%",93,100,"750",53
186,10,"J.J. Corry The Vatting No. 1 47.8%",93,2000,"750",47.8
187,10,"Midleton Very Rare 2017 40%",93,214,"750",40
188,10,"Jameson Bow Street 18 year old (Batch 2) 55.1%",93,179,"750",55.1
189,10,"Jameson Caskmates Angel City Brewing Co. Edition 40%",92,30,"750",40
190,10,"Jameson Caskmates KelSo Pale Ale Edition 40%",92,30,"750",40
191,10,"The Irishman Vintage Cask (2019 Release) 54%",92,140,"750",54
192,10,"Midleton Very Rare 2016 40%",92,159,"750",40
193,10,"Jameson 18 year old 40%",92,110,"750",40
194,10,"Writers’ Tears Cask Strength 2018 53%",92,145,"750",53
195,10,"The Legendary Dark Silkie 46%",92,44,"750",46
196,10,"Writers’ Tears Double Oak 46%",92,65,"750",46
197,10,"Writers’ Tears Cask Strength (2020 Release) 54.5%",92,145,"750",54.5
198,10,"Jameson Black Barrel 40%",91,37,"750",40
199,10," The Whistler Imperial Stout Cask-Finished 43%",91,40,"750",43
200,10,"Egan’s Centenary 46%",91,100,"750",46
201,10,"Powers 12 year old 40%",91,35,"750",40
202,10,"The Irishman Vintage Cask (2020 Release) 55.2%",91,140,"750",55.2
203,10,"Hyde No. 6 President’s Reserve Sherry Cask Finish 46%",91,50,"750",46
204,10,"The Irishman Founder’s Reserve Oloroso Sherry Cask-Finished 46%",91,100,"750",46
205,10,"Two Stacks The First Cut 43%",91,40,"750",43
206,10,"Slane Irish Whiskey 40%",90,30,"750",40
207,10,"Jameson Caskmates Great Divide Brewing Co. Edition 40%",90,30,"750",40
208,10,"The Whistler Double Oaked Blended Irish Whiskey 40%",90,30,"750",40
209,10,"The Dubliner Irish Whiskey 40%",90,28,"750",40
210,10,"The Irishman Founder’s Reserve 40%",90,30,"750",40
211,10,"Writers’ Tears Copper Pot Deau XO Cognac Cask Finish 46%",90,60,"750",46
212,10,"The Whistler Oloroso Sherry Cask-Finished 43%",90,35,"750",43
213,10,"The Whistler Calvados Cask-Finished 43%",90,40,"750",43
214,10,"The Legendary Silkie 46%",90,42,"750",46
215,10,"J.J. Corry The Gael 46%",90,75,"750",46
216,10,"Powers Gold Label 43.2%",90,38,"750",43.2
217,10,"Kilbeggan Traditional 40%",90,25,"750",40
218,10,"Prizefight Irish Whiskey 43%",90,45,"750",43
219,10,"The Blender’s Dog 43%",90,74,"750",43
220,10,"West Cork Export Stout Cask Finish 40%",90,30,"750",40
221,10,"Jameson Bow Street 18 year old Cask Strength 55.3%",90,200,"750",55.3
222,10,"Jameson Caskmates IPA Edition 40%",90,30,"750",40
223,10,"Hinch 5 year old Double Wood 43%",90,40,"750",43
224,10,"Jameson Caskmates Revolution Brewing 40%",89,30,"750",40
225,10,"The Dead Rabbit 44%",89,43,"750",44
226,10,"Tullamore D.E.W. XO Caribbean Rum Cask Finish 43%",89,26,"750",43
227,10,"The Irishman Cask Strength 2018 54%",89,160,"750",54
228,10,"The Irishman Founder’s Reserve Caribbean Cask Finish Small Batch 2018 46%",89,60,"750",46
229,10,"Tullamore D.E.W. Cider Cask 40%",89,40,"liter",40
230,10,"Jameson Triple Triple 40%",89,36,"liter",40
231,10,"Hinch 10 year old Sherry Cask-Finished 43%",89,55,"750",43
232,10,"Two Stacks The Blender’s Cut Cask-Strength 65%",89,60,"750",65
233,10,"Jameson Caskmates Captain Lawrence Brewing Co. Edition 40%",88,30,"750",40
234,10,"McConnell’s 5 year old Blended Irish Whiskey 42%",88,33,"750",42
235,10,"Dublin Liberties Oak Devil 46%",88,40,"750",46
236,10,"Flaming Leprechaun Special Reserve 46%",88,27,"750",46
237,10,"Tullamore D.E.W. 15 year old Trilogy 40%",88,80,"750",40
238,10,"West Cork IPA Cask-Finished 40%",88,33,"750",40
239,10,"Tullamore D.E.W. Original 40%",88,24,"750",40
240,10,"Bushmills Black Bush 40%",88,35,"750",40
241,10,"Roe & Co 45%",88,35,"750",45
242,10,"J.J. Corry The Hanson 46%",88,55,"750",46
243,10,"J.J. Corry The Gael (Batch 2) 46%",88,80,"750",46
244,10,"Lambay Small Batch Blend 40%",88,35,"750",40
245,10,"Midleton Very Rare 2015 40%",88,145,"750",40
246,10,"Proclamation 40.7%",88,30,"750",40.7
247,10,"Bushmills Red Bush 40%",87,23,"750",40
248,10,"Sons of Erin 15 year old 46%",87,110,"750",46
249,10,"Sadler’s Peaky Blinder Blended Irish Whiskey 40%",87,19,"750",40
250,10,"John L. Sullivan 40%",87,26,"750",40
251,10,"Clonakilty 43.6%",87,50,"750",43.6
252,10,"The Busker Triple Cask Triple Smooth 40%",87,25,"750",40
253,10,"Grace O’Malley 40%",87,37,"750",40
254,10,"The Temple Bar Signature Blend 40%",87,40,"750",40
255,10,"Barr an Uisce Wicklow Rare 43%",87,50,"750",43
256,10,"West Cork Barrel Proof (2018 Release) 62%",87,55,"750",62
257,10,"Hinch Small Batch Bourbon Cask 43%",87,33,"750",43
258,10,"Writers Tears Copper Pot 40%",86,40,"750",40
259,10,"Bushmills Black Bush 40%",86,35,"750",40
260,10,"Bushmills Original 40%",86,23,"750",40
261,10,"Pearse The Original 42%",86,40,"750",42
262,10,"Barr An Uisce Wicklow Hills 40%",86,35,"750",40
263,10,"Kirkland 4 year old 40%",86,28,"1.75 liter",40
264,10,"J.J. Corry The Vatting No. 2 47%",86,2000,"750",47
265,10,"The Distiller’s Safe 43%",86,74,"750",43
266,10,"West Cork Black Reserve 43%",86,40,"750",43
267,10,"Proper No. Twelve 40%",85,30,"750",40
268,10,"Pearse Distiller’s Choice 42%",85,50,"750",42
269,10,"Clontarf 1014 Classic Blend 40%",85,22,"750",40
270,10,"Douhans 40%",85,18,"750",40
271,10,"Wolfhound 40%",85,19,"750",40
272,10,"The Quiet Man 40%",85,40,"750",40
273,10,"The Cooper’s Croze 43%",85,70,"750",43
274,10,"Jameson Round 40%",85,38,"750",40
275,10,"Kinahan’s Small Batch 46%",85,40,"750",46
276,10,"Uisce Beatha Real Irish Whiskey 40%",85,29,"750",40
277,10,"Paddy 40%",84,20,"750",40
278,10,"The Pogues 40%",84,40,"750",40
279,10,"Jameson Bold 40%",84,38,"750",40
280,10,"Jameson 40%",82,23,"750",40
281,10,"The Silkie 40%",82,50,"750",40
282,10,"West Cork Barrel Proof 62%",82,55,"750",62
283,10,"Kilbeggan 21 year old 40%",82,132,"750",40
284,10,"Tullamore Dew Phoenix 55%",81,75,"750",55
285,10,"Tullamore Dew 10 year old 40%",81,35,"750",40
286,10,"Jameson Caskmates Stout Edition 40%",81,48,"750",40
287,10,"Slane Castle 40%",80,23,"750",40
288,10,"Tullamore Dew 12 Year Old Special Reserve 40%",80,40,"750",40
289,10,"Tullamore Dew 12 Year Old 40%",79,46,"750",40
290,10,"West Cork Original Classic Blend 40%",79,27,"750",40
291,10,"Tullamore D.E.W. Cider Cask Finish 40%",78,61,"750",40
292,10,"Hell-Cat Maggie 40%",78,20,"750",40
293,10,"Jameson Lively 40%",78,38,"750",40
294,11,"Nikka Taketsuru Pure Malt 43%",91,80,"750",43
295,11,"Ichiro’s Malt & Grain Limited Edition (Blue Label) 48%",90,236,"750",48
296,12,"Chivas Regal Ultis 40%",96,160,"750",40
297,12,"Compass Box The General 53.4%",96,325,"750",53.4
298,12,"Compass Box Flaming Heart (10th Anniversary bottling) 48.9%",95,105,"750",48.9
299,12,"Compass Box The Peat Monster 46%",94,65,"750",46
300,12,"Collectivum XXVIII (Diageo Special Releases 2017) 57.3%",94,164,"750",57.3
301,12,"Compass Box Flaming Heart 2018 Edition 48.9%",94,150,"750",48.9
302,12,"Blue Hanger 6th Release Berry Bros. & Rudd 45.6%",94,84,"750",45.6
303,12,"Samaroli Over an Islay Rainbow 2017 Edition 45%",94,471,"750",45
304,12,"Sheep Dip Islay Blended Malt 40%",93,60,"750",40
305,12,"Compass Box Spice Tree Extravaganza 46%",93,140,"750",46
306,12,"Compass Box Flaming Heart 2015 Edition 15th Anniversary 48.9%",93,150,"750",48.9
307,12,"Buchanan’s Select 15 year old 40%",93,50,"750",40
308,12,"Compass Box Oak Cross 46%",93,50,"750",46
309,12,"Big Peat 25 year old 52.1%",93,236,"750",52.1
310,12,"Exclusive Blend 1993 23 year old 50%",93,145,"750",50
311,12,"Johnnie Walker Odyssey 40%",93,1100,"750",40
312,12,"Compass Box Spice Tree Extravaganza 46%",93,140,"750",46
313,12,"Douglas Laing Big Peat Christmas 2013 54.9%",93,76,"750",54.9
314,12,"Compass Box The Peat Monster 46%",93,65,"750",46
315,12,"Compass Box Flaming Heart Batch #2 48.9%",92,85,"750",48.9
316,12,"Compass Box Monster 54.9%",92,85,"750",54.9
317,12,"Big Peat Christmas Edition 2015 53.8%",92,70,"750",53.8
318,12,"The Feathery 40%",92,66,"750",40
319,12,"Compass Box The Peat Monster Arcana 46%",92,95,"750",46
320,12,"Compass Box Flaming Heart 2012 Edition 48.9%",92,115,"750",48.9
321,12,"Blue Hanger 11th Limited Release 45.6%",92,137,"750",45.6
322,12,"Exclusive Blend 1991 21 year old 46%",92,100,"750",46
323,12,"Compass Box Peat Monster 10th Anniversary Limited Edition 48.9%",92,130,"750",48.9
324,12,"Sheep Dip 'Old Hebridean' 1990 vintage 40%",92,70,"750",40
325,12,"Blackadder 22 year old Raw Cask Westport Single Cask (No. 3293) 53.2%",92,200,"750",53.2
326,12,"Compass Box The Peat Monster 46%",92,65,"750",46
327,12,"Cladach 57.1%",92,198,"750",57.1
328,12,"Big Peat Small Batch 53.6%",92,48,"750",53.6
329,12,"Compass Box The Peat Monster Reserve Edition 48.9%",92,150,"750",48.9
330,12,"Blue Hanger 7th Release Limited Edition 45.6%",92,100,"750",45.6
331,12,"Blue Hanger 4th Release Berry Bros. & Rudd 45.6%",92,75,"750",45.6
332,12,"Blackadder Puff Adder (Batch PA 01) 46%",92,75,"750",46
333,12,"Samaroli Ferry to Islay 2017 Edition 55.1%",92,610,"750",55.1
334,12,"MacNair’s Lum Reek Peated 21 year old 48%",92,150,"750",48
335,12,"Compass Box Canto Cask 46 53.2%",91,65,"750",53.2
336,12,"Compass Box 3 year old Deluxe 49.2%",91,300,"750",49.2
337,12,"Usquaebach An Ard Ri Cask Strength 57.1%",91,200,"750",57.1
338,12,"Compass Box Spice Tree 46%",91,65,"750",46
339,12,"Sheep Dip 40%",91,44,"750",40
340,12,"Compass Box 'Lady Luck' 46%",91,170,"750",46
341,12,"Rock Oyster Sherry Edition 46.8%",91,60,"750",46.8
342,12,"Timorous Beastie 40 year old 54.7%",91,246,"750",54.7
343,12,"Compass Box Magic Cask (2020 Release) 46%",91,175,"750",46
344,12,"Compass Box Myths & Legends III 46%",91,150,"750",46
345,12,"Sheep Dip Islay Blended Malt 40%",91,60,"750",40
346,12,"Blackadder 9 year old Raw Cask Smoking Islay 59.4%",91,150,"750",59.4
347,12,"Big Peat Platinum 26 year old 51.8%",91,300,"750",51.8
348,12,"Timorous Beastie 24 year old 46.8%",91,200,"750",46.8
349,12,"Cutty Sark Tam o' Shanter 25 year old 46.5%",91,329,"750",46.5
350,12,"Samaroli Islay 2017 Edition 43%",91,176,"750",43
351,12,"The Lost Distillery Company Classic Selection Towiemore 43%",90,43,"750",43
352,12,"Tweeddale Last Centennial 52.2%",90,190,"750",52.2
353,12,"William Grant Rare Cask Reserves Blended Reserve 26 year old 42%",90,399,"750",42
354,12,"Big Peat Christmas (2020 Edition) 53.1%",90,59,"750",53.1
355,12,"Compass Box Oak Cross 43%",90,59,"750",43
356,12,"Compass Box Last Vatted Malt 53.7%",90,287,"750",53.7
357,12,"Johnnie Walker Green Label 15 year old 43%",90,65,"750",43
358,12,"Big Peat Christmas Edition 2014 55.7%",90,70,"750",55.7
359,12,"Compass Box No Name (No. 2) 48.9%",90,150,"750",48.9
360,12,"Timorous Beastie 18 year old 46.8%",90,108,"750",46.8
361,12,"Duncan Taylor The Big Smoke 60 60%",90,85,"750",60
362,12,"Big Peat 46%",90,55,"750",46
363,12,"Chivas Regal Ultis 40%",90,160,"750",40
364,12,"Chivas Regal 20 year old Ultis 1999 Victory Edition 40%",90,189,"750",40
365,12,"Scotchdale 8 year old 40%",90,50,"750",40
366,12,"Scallywag Cask Strength 53.6%",90,76,"750",53.6
367,12,"Mossburn Signature Casks Series Speyside Blended Malt 46%",90,40,"750",46
368,12,"Blue Hanger 9th Release 45.6%",90,115,"750",45.6
369,12,"Compass Box The Lost Blend 46%",90,120,"750",46
370,12,"The Pearls of Scotland (distilled at Invergordon) 1972 43.4%",90,246,"750",43.4
371,12,"Johnnie Walker Island Green 43%",90,60,"750",43
372,12,"Shackleton 40%",90,35,"750",40
373,12,"Compass Box Juveniles 46%",90,150,"750",46
374,12,"Duncan Taylor Octave The Huntly 1998 19 year old 53.3%",90,150,"750",53.3
375,12,"Clan Denny Islay 46%",90,45,"750",46
376,12,"MacNair’s Lum Reek Peated 12 year old 46%",89,60,"750",46
377,12,"Johnnie Walker Green Label 43%",89,55,"750",43
378,12,"Big Peat Prohibition (Batch 88) 54%",89,59,"750",54
379,12,"Scallywag 13 year old 46%",89,83,"750",46
380,12,"Poit Dhubh 21 year old Blended Malt 43%",89,120,"750",43
381,12,"Peat Elements of Islay 59.3%",89,46,"750",59.3
382,12,"That Boutique-y Whisky Company Blended Malt #2 (batch 1) 48.3%",89,74,"750",48.3
383,12,"Wemyss Malts Kiln Embers 46%",89,64,"750",46
384,12,"Mossburn Signature Casks Series Island Blended Malt 46%",89,50,"750",46
385,12,"Naked Grouse 43%",89,35,"750",43
386,12,"Smokey Joe Islay Malt 46%",89,37,"750",46
387,12,"Double Barrel Ardbeg & Craigellachie 46%",89,78,"750",46
